,Acousticness,Album,Artist,Danceability,Duration,Energy,Explicit,Instrumentalness,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,TimeSignature,Valence
176,0.0113,Never Enough,Melissa Etheridge,0.292,376333,0.419,False,0.0,0.111,-12.012,1,Keep It Precious,18,0.0369,116.294,5,0.064
206,0.00133,The Medicine Show,Melissa Etheridge,0.541,272213,0.78,False,4.22e-05,0.121,-5.974,1,Wild And Lonely,34,0.0352,126.087,4,0.329
236,0.0448,Yes I Am,Melissa Etheridge,0.613,295000,0.476,False,0.0,0.0608,-9.648,1,I'm The Only One,61,0.0321,84.938,4,0.644
10,0.312,Lost In Time (Deluxe),Eric Benet,0.52,335343,0.534,False,9.52e-05,0.0787,-6.528,0,Something's Wrong,5,0.0266,81.531,4,0.319
40,0.117,Eric Benet,Eric Benet,0.604,296125,0.465,False,0,0.318,-7.254,1,Sunshine - Remix,7,0.0367,78.968,4,0.276
70,0.191,Hurricane (German Version),Eric Benet,0.75,277667,0.716,False,1.01e-05,0.0854,-5.39,1,Where Does the Love Go - Duet with Yvonne Catterfeld,0,0.0416,100.014,4,0.679
100,0.304,The One,Eric Benet,0.574,330733,0.595,False,0,0.213,-5.521,1,Waitin',22,0.066,187.945,4,0.571
130,0.0133,The Other One (Revisited By The Afropeans),Eric Benet,0.663,201173,0.727,False,0,0.0971,-6.636,1,Gonna Be My Girl - Afropeans Revisit,3,0.108,131.941,4,0.222
1,0.193,I Want It All,Warren G,0.85,242787,0.74,True,0,0.361,-5.383,1,"Gangsta Love (feat. Kurupt, Nate Dogg & RBX)",38,0.259,94.732,4,0.756
31,0.0112,In the Mid-Nite Hour,Warren G,0.828,238080,0.745,False,1.34e-05,0.0544,-4.835,1,Yes Sir,17,0.152,99.978,4,0.68
61,0.0515,Regulate… G Funk Era,Warren G,0.59,245400,0.726,True,0,0.278,-8.651,1,This Is The Shack,37,0.253,180.16,4,0.732
91,0.111,Take A Look Over Your Shoulder (Reality),Warren G,0.828,210791,0.336,False,0,0.173,-10.266,1,Reality,21,0.297,92.531,4,0.638
121,0.39,Totally Unregulated,Warren G,0.584,283707,0.477,True,0,0.24,-6.035,0,Ahh,15,0.382,87.735,4,0.768
27,0.871,Free,Chico DeBarge,0.344,71523,0.23,False,0.0,0.128,-13.218,0,Loyalty Altro,3,0.0345,136.899,5,0.066
2,0.0188,Better Living Through Chemistry,Fatboy Slim,0.458,405560,0.504,False,0.712,0.0997,-13.162,0,The Weekend Starts Here,33,0.0298,80.771,4,0.331
32,0.000103,Big Beach Bootique 5,Fatboy Slim,0.716,389480,0.786,False,0.0413,0.311,-6.236,1,NYC Beat,3,0.0387,129.989,4,0.546
62,0.00567,Fatboy Slim - Big Beach Bootique 5,Fatboy Slim,0.799,223107,0.995,False,0.863,0.263,-8.224,1,Kendo,4,0.0709,127.993,4,0.264
92,0.0184,Fatboy Slim vs. Australia,Fatboy Slim,0.773,213926,0.955,True,0.0491,0.07,-5.413,0,The Rockafeller Skank - Sam La More Remix / Edit,26,0.0359,128.0,4,0.741
122,0.117,Here Lies Love,Fatboy Slim,0.574,297680,0.683,False,1.03e-05,0.0929,-7.781,1,A Perfect Hand (feat. Steve Earle),17,0.0401,88.522,4,0.523
152,0.585,Late Night Tales: Fatboy Slim,Fatboy Slim,0.718,229147,0.169,False,0.0,0.166,-20.71,1,Everything Is Everything,13,0.928,125.39,4,0.194
182,0.00898,The Pimp,Fatboy Slim,0.806,499467,0.977,True,0.792,0.0593,-5.39,1,"Star 69 - X-Press 2 Wine 'Em, Dine 'Em 69 'Em Supamix",3,0.0732,130.009,4,0.408
15,0.0132,Heart And Soul (Bonus Track Version),Kenny G,0.474,300693,0.632,False,0.458,0.113,-6.928,1,Déjà Vu,23,0.0426,169.748,4,0.564
45,0.0639,At Last... The Duets Album,Kenny G,0.557,236933,0.693,False,0.0,0.133,-7.826,1,Baby Come To Me,2,0.058,89.813,4,0.713
75,0.728,At Last...The Duets Album/ Breathless,Kenny G,0.366,234067,0.276,False,1.65e-05,0.151,-12.896,0,Sorry Seems To Be The Hardest Word,0,0.0351,127.736,4,0.138
105,0.879,Breathless,Kenny G,0.287,201973,0.187,False,0.772,0.141,-15.913,1,The Wedding Song,35,0.0401,78.471,4,0.147
135,0.918,Faith - A Holiday Album,Kenny G,0.349,171493,0.277,False,0.869,0.133,-13.045,0,Eternal Light (A Chanukah Song),21,0.0343,69.988,5,0.16
165,0.0404,Gravity,Kenny G,0.715,277267,0.792,False,0.00768,0.246,-10.485,1,Where Do We Take It (From Here),11,0.0397,114.547,4,0.251
195,0.113,Kenny G Live,Kenny G,0.483,348573,0.729,False,0.0524,0.942,-12.958,0,Sade - Live,25,0.0931,109.956,4,0.482
225,0.906,Miracles - The Holiday Album,Kenny G,0.27,157067,0.185,False,0.167,0.114,-14.774,1,Away in a Manger,1,0.0388,145.984,4,0.111
255,0.0529,Paradise,Kenny G,0.417,254640,0.606,False,0.858,0.14,-8.0,1,Paradise,42,0.0363,87.283,4,0.426
285,0.00838,Sax Play Kenny G,Kenny G,0.61,250907,0.572,False,0.475,0.1,-7.634,1,Joy Of Live,15,0.0284,114.018,4,0.39
315,0.659,The Classic Christmas Album,Kenny G,0.416,149067,0.237,False,0.664,0.139,-10.426,1,Jingle Bells,35,0.0358,115.699,4,0.061
345,0.0962,The Essential Kenny G,Kenny G,0.759,248973,0.56,False,0.0192,0.266,-7.225,0,The Way You Move,19,0.0346,126.027,4,0.699
375,0.0171,The Essential Kenny G 3.0,Kenny G,0.563,330893,0.38,False,0.459,0.0836,-8.466,1,Going Home - Live,29,0.0236,80.071,4,0.295
405,0.807,The Moment,Kenny G,0.403,440400,0.328,False,0.785,0.228,-12.372,0,Havana,33,0.033,113.075,4,0.291
435,0.731,Wishes A Holiday Album,Kenny G,0.193,276133,0.317,False,0.782,0.118,-11.818,1,Medley: Hark! The Herald Angels Sing/O Come All Ye Faithful,5,0.0322,92.119,4,0.127
21,0.133,Superstar,Len,0.737,88892,0.541,False,0,0.117,-7.843,0,Showolf,6,0.0286,99.077,4,0.928
16,0.00933,37 Days,Beth Hart,0.341,259667,0.661,False,0,0.348,-3.909,0,Over You,24,0.0293,72.67,4,0.268
46,0.466,Black Coffee,Beth Hart,0.627,275929,0.735,False,0.00304,0.165,-7.628,0,Why Don't You Do Right,45,0.0427,106.017,4,0.67
76,0.13,Front And Center (Live From New York),Beth Hart,0.336,309696,0.219,False,9.04e-06,0.711,-15.55,0,Baddest Blues (Live),33,0.0489,169.285,3,0.161
106,0.058,Leave The Light On,Beth Hart,0.403,247680,0.816,False,0,0.213,-6.033,1,World Without You,5,0.0349,165.977,4,0.526
136,0.0428,Live At The Royal Albert Hall,Beth Hart,0.382,212253,0.82,False,0,0.981,-6.808,0,Baby Shot Me Down - Live,24,0.0894,141.587,4,0.502
166,0.00171,Live in Amsterdam,Beth Hart,0.31,439240,0.916,False,0.00409,0.899,-7.157,1,Miss Lady - Live,13,0.111,137.83,4,0.208
196,0.148,Seesaw,Beth Hart,0.612,152200,0.726,False,0.00208,0.368,-6.5,1,Them There Eyes,15,0.0463,160.033,4,0.911
7,0.00138,Black and White Rainbows (Deluxe Edition),Bush,0.558,208515,0.595,False,0.00261,0.124,-6.967,0,Water,35,0.0505,152.038,4,0.503
37,0.000179,The Sea Of Memories (Deluxe Edition),Bush,0.423,210987,0.723,False,1.5e-06,0.17,-5.239,1,Red Light,7,0.0369,120.047,4,0.35
67,0.000724,Golden State (U.S. Version),Bush,0.623,267533,0.543,False,0.0197,0.236,-7.274,1,Solutions,33,0.0315,135.013,4,0.0484
97,0.42,The Come Up,Bush,0.807,152189,0.464,True,6.15e-05,0.0985,-14.036,1,Free Style,0,0.301,93.938,4,0.755
9,0.0482,A Little Bit Of 80s,Lou Bega,0.727,231453,0.765,False,1.83e-05,0.187,-5.927,1,Red Red Wine,0,0.112,94.955,4,0.894
